date,sentiment,trades,notional_sum,notional_med,lev_mean,lev_med,pnl_sum,pnl_mean,pnl_winrate,r_mean,r_med
2023-01-05,Fear,3,477.0,156.39,0.09193333333333333,0.0967,0.0,0.0,0.0,0.0,0.0
2023-05-12,Neutral,9,50005.83,1935.95,2.513866666666667,1.3614,0.0,0.0,0.0,0.0,0.0
2024-01-01,Greed,18,264239.52999999997,9216.095000000001,414.7732555555556,1.2602,-129.53146,-7.196192222222223,0.05555555555555555,-0.0013542542015655766,0.0
2024-01-02,Greed,6,2008.18,252.115,18562.666666666668,22175.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,Greed,137,472974.7,1000.87,375587.74525547447,7377.0,8244.241409,60.176944591240876,0.9343065693430657,0.032565632189562016,0.034830581539642275
2024-01-04,Greed,77,339470.47,1041.48,448724.6416597403,9323.0,2507.963406,32.57095332467532,0.5454545454545454,0.016572840290737134,0.0032439503697747458
2024-01-05,Greed,14,87025.45,4871.745,62.32951428571429,59.78355,0.0,0.0,0.0,0.0,0.0
2024-01-06,Greed,25,12834.62,333.0,-47545.904,-1553.0,91.510419,3.66041676,0.36,0.005425889771719146,0.0
2024-01-07,Greed,64,362670.14999999997,423.28999999999996,218419.2375734375,30.29395,5065.839308,79.1537391875,0.40625,0.010594283518509664,0.0
2024-01-08,Greed,57,227774.53,1002.35,166376.4956409386,9.13,167.080017,2.9312283684210527,0.07017543859649122,0.0006039157603026269,0.0
2024-01-09,Extreme Greed,12,12359.68,499.67499999999995,-1304.8965716666667,-209.5,137.433093,11.452757750000002,0.4166666666666667,0.008313305107223078,0.0
2024-01-10,Greed,4,139954.32,31787.215,1.83578,1.768815,0.0,0.0,0.0,0.0,0.0
2024-01-11,Extreme Greed,23,260981.03,2753.9,8083.628513478261,4081.0,1040.475736,45.238075478260875,0.2608695652173913,0.0010570559992485902,0.0
2024-01-12,Greed,416,814711.82,296.565,18184.968293473583,1.5017550000000002,40886.364494,98.28453003365385,0.53125,0.20091040548847178,0.0009852409452853368
2024-02-01,Greed,17,121348.74,2439.38,-46986.74279,-35073.0,783.979116,46.11641858823529,0.47058823529411764,0.05840668851694138,0.0
2024-02-02,Greed,42,474278.43,3708.865,3535.838899285714,3.14485,456.423473,10.867225547619048,0.30952380952380953,0.02222314402296727,0.0
2024-02-03,Greed,31,63197.56,269.86,-11303.193548387097,-16209.0,230.90060000000005,7.448406451612905,0.6774193548387096,-0.07441265725788752,0.04195121951219512
2024-02-04,Greed,41,239664.50999999998,3300.9,1.1111463414634146,-2.5702,883.760812,21.555141756097562,0.2926829268292683,0.0030547989921382228,0.0
2024-02-06,Greed,93,29464.51,221.94,-4765.8387096774195,-4922.9,192.906947,2.074268247311828,0.3655913978494624,0.0072570025557842175,0.0
2024-02-07,Greed,18,33347.47,218.55,-2891.23615,1764.09657,2421.253116,134.514062,0.7222222222222222,0.04432659383288111,0.04454722492697176
2024-02-08,Greed,63,396320.37,2129.53,33155.55129620317,124.0064,782.3681909999999,12.418542714285714,0.2698412698412698,0.0029892530797869217,0.0
