sentiment,coin_std,trades,notional_sum,r_mean,pnl_mean,winrate
Extreme Greed,@11,1,0.61,0.0,0.0,0.0
Extreme Greed,@14,16,848.44,0.0,0.0,0.0
Extreme Greed,@20,4,60.0,0.0,0.0,0.0
Extreme Greed,@3,1,24.99,0.0,0.0,0.0
Extreme Greed,@38,1,0.73,0.0,0.0,0.0
Extreme Greed,@4,79,8949.64,-0.1259255326648561,-12.607399835443038,0.08860759493670886
Extreme Greed,@41,1,0.34,0.0,0.0,0.0
Extreme Greed,@44,1,0.65,0.0,0.0,0.0
Extreme Greed,@45,1,0.54,0.0,0.0,0.0
Extreme Greed,@46,2,0.04,0.0,0.0,0.0
Extreme Greed,@74,1,300.5,0.9981430582362728,299.941989,1.0
Extreme Greed,@8,40,5931.24,0.0,0.0,0.0
Extreme Greed,AAVE,102,477609.71,0.016506949064790544,85.3615937254902,0.4803921568627451
Extreme Greed,ADA,9,39410.439999999995,0.007464246955847665,83.74596844444444,0.3333333333333333
Extreme Greed,APE,45,94369.95,0.0147828853759828,46.058381777777775,0.37777777777777777
Extreme Greed,AR,6,5368.89,0.041282741815809126,21.628553333333333,0.8333333333333334
Extreme Greed,ATOM,3,399.92,0.0,0.0,0.0
Extreme Greed,AVAX,6,467.27,0.004719030594486189,0.20867033333333332,0.3333333333333333
Extreme Greed,BANANA,3,284.87,-0.1264985792207742,-11.961329333333333,0.0
Extreme Greed,BLAST,4,528.43,0.2405242338626266,33.99725425,1.0
Extreme Greed,BNB,6,6645.67,0.0013847919084617995,2.4046083333333335,0.3333333333333333
Extreme Greed,BRETT,43,62194.57,-0.016148743401305194,-20.326258813953487,0.0
Extreme Greed,BTC,319,4619686.19,0.002710898648525176,41.561424090909085,0.31974921630094044
Extreme Greed,CHILLGUY,10,1023.54,0.03450116360669559,2.1008012000000003,0.4
Extreme Greed,CRV,13,78804.88,-0.005502014190306199,-92.27877123076922,0.0
Extreme Greed,DOGE,24,65179.63,0.012797032728846918,28.341659125000003,0.5416666666666666
Extreme Greed,DOT,13,1265.18,0.00867967430225464,0.47231100000000004,0.5384615384615384
Extreme Greed,EIGEN,26,27242.12,0.0192427630403807,10.962353423076923,0.4230769230769231
Extreme Greed,ENA,23,16517.64,0.002184742815231503,0.10147230434782609,0.08695652173913043
Extreme Greed,ETH,613,6023450.68,-0.011888558560573135,-170.17848374388254,0.15171288743882544
Extreme Greed,ETHFI,17,21075.579999999998,0.05518163566508803,83.0773325882353,0.5294117647058824
Extreme Greed,FET,2,981.4300000000001,0.017683174682179226,8.52665,0.5
Extreme Greed,FTT,226,50745.17,0.0050783676460734095,1.699782796460177,0.3230088495575221
Extreme Greed,FXS,14,40965.18,-0.0015580413881427584,-4.6026682857142855,0.0
Extreme Greed,GMX,57,31000.71,0.0025101465324272516,1.0851810175438596,0.45614035087719296
Extreme Greed,GOAT,68,355188.0,0.026781943436428597,113.45349755882353,0.6323529411764706
Extreme Greed,GRASS,2,1307.77,0.10139708465161501,66.243695,1.0
Extreme Greed,HBAR,52,17970.54,0.015020347964053703,12.259251153846153,0.21153846153846154
Extreme Greed,HPOS,8,1499.99,0.0,0.0,0.0
Extreme Greed,HYPE,108,42333.79,0.006567611141162283,3.117699398148148,0.21296296296296297
Extreme Greed,IMX,3,389.56,0.011714097795088899,0.436037,0.6666666666666666
Extreme Greed,INJ,19,7309.38,0.011943716682574563,1.6588588421052632,0.47368421052631576
Extreme Greed,IO,58,32190.02,0.0016097104918763342,-0.561392603448276,0.15517241379310345
Extreme Greed,JUP,35,80856.37,0.019916295217775007,24.34301142857143,0.9428571428571428
Extreme Greed,LDO,14,3320.85,0.002220300927592356,0.8279569285714284,0.14285714285714285
Extreme Greed,LINK,27,53529.29,0.0008630309645203658,5.57405388888889,0.14814814814814814
Extreme Greed,LTC,2,74.15,0.0,0.0,0.0
Extreme Greed,MANTA,2,174.9,0.0,0.0,0.0
Extreme Greed,MATIC,10,51398.95,0.0007402507154513568,4.8144522,0.4
Extreme Greed,MAV,2,21.049999999999997,0.0008974358974358975,0.00945,0.5
Extreme Greed,ME,10,82767.39,0.0525503233985942,276.702671,0.8
Extreme Greed,MEME,41,62145.840000000004,0.02855810205790171,62.15541551219513,0.4634146341463415
Extreme Greed,MOODENG,60,99536.58,0.0023273842269366895,2.1463252,0.25
Extreme Greed,NEAR,2,770.3299999999999,0.016065500063865118,6.28884,0.5
Extreme Greed,NTRN,1,1999.4,0.0,0.0,0.0
Extreme Greed,ORDI,5,1104.87,0.0033353128985234757,0.9154823999999999,0.4
Extreme Greed,PENDLE,2,6887.91,0.018074671760731038,63.3942,0.5
Extreme Greed,PNUT,19,124463.01000000001,0.06690380486950769,449.7202894736842,0.5263157894736842
Extreme Greed,PURR,12,124623.37,-0.0019657998287675366,92.57399725,0.3333333333333333
