sentiment,trades,notional_sum,notional_avg,lev_mean,pnl_sum,pnl_mean,pnl_winrate,r_mean,r_med
Extreme Fear,2326,9580240.04,4118.761840068787,21902.797504816543,4399.936551,1.8916322231298366,0.2927773000859845,0.0031877921992962514,0.0
Extreme Greed,5621,18223760.27,3242.085086283579,24593.24115989713,1156893.675576,205.81634505888633,0.5532823341042519,0.13493758892401658,0.009622190980858657
Fear,13869,79674391.06,5744.782685125099,8146.358517624413,1779225.582654,128.28795029591174,0.381786718581008,0.02982162792555302,0.0
Greed,11292,57045815.74,5051.878829259653,37276.787810983165,609632.532636,53.988003244420824,0.4357066950053135,0.030462367990455666,0.0
Neutral,2756,11939551.21,4332.202906386067,89199.58740613675,74656.74198,27.08880333091437,0.4949201741654572,0.023813888581318544,0.0
Unknown,175360,1014723684.14,5786.517359375,-41596.1244154626,6672150.4740389995,38.04830334191948,0.4077269616788321,0.013817660997774572,0.0
