sentiment,account_std,trades,notional_sum,r_mean,pnl_mean,winrate
Fear,0x083384f897ee0f19899168e3b1bec365f52a9012,2011,30776662.78,0.04772646988733152,502.5393430183988,0.43709597215315765
Fear,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,247,438169.58999999997,0.007957060809251269,11.443635530364375,0.30364372469635625
Fear,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,879,412399.81,0.05923062162402998,19.091705582480092,0.515358361774744
Fear,0x2c229d22b100a7beb69122eed721cee9b24011dd,15,30058.81,-0.033770386341327695,-47.3857964,0.0
Fear,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,14,477.04,0.0,0.0,0.0
Fear,0x39cef799f8b69da1995852eea189df24eb5cae3c,105,880503.37,0.013554730706297168,15.37158361904762,0.6857142857142857
Fear,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,18,104432.78,0.019614473065768127,27.97014311111111,0.6111111111111112
Fear,0x430f09841d65beb3f27765503d0f850b8bce7713,1,0.12,0.0,0.0,0.0
Fear,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,665,380603.06,0.021985318988911234,9.228772481203007,0.35789473684210527
Fear,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,225,1481544.93,0.0,0.0,0.0
Fear,0x4f93fead39b70a1824f981a54d4e55b278e9f760,502,8706378.38,0.0070942341054068105,137.32733815936254,0.4581673306772908
Fear,0x513b8629fe877bb581bf244e326a047b249c4ff1,42,70653.29,0.0,0.0,0.0
Fear,0x6d6a4b953f202f8df5bed40692e7fd865318264a,60,37577.76,0.00525632953816275,6.539248099999999,0.15
Fear,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,141,1631349.94,0.0,0.0,0.0
Fear,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,198,581493.94,0.16555371231605848,996.4390687373736,0.5656565656565656
Fear,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,779,2415039.21,0.022973869476164914,45.53423903209243,0.7689345314505777
Fear,0x8170715b3b381dffb7062c0298972d4727a0a63b,258,161078.02,0.2607385827742785,98.8974205503876,0.4496124031007752
Fear,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,126,6074895.47,0.010530681622691154,72.58791467460317,0.3888888888888889
Fear,0x8477e447846c758f5a675856001ea72298fd9cb5,1009,935376.77,0.0048376970889934924,4.841095520317146,0.333994053518335
Fear,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,994,1132008.6,0.0031887435081089073,7.517044740442656,0.176056338028169
Fear,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,104,22903.33,0.18043296067502987,37.86853791346154,0.5192307692307693
Fear,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,21,152639.03,0.0,0.0,0.0
Fear,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,4,7875.4800000000005,0.0,0.0,0.0
Fear,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1525,4836738.53,0.02483610166826657,97.14561008721311,0.3140983606557377
Fear,0xb899e522b5715391ae1d4f137653e7906c5e2115,316,6660498.14,0.009030498489053261,126.29664816772151,0.4810126582278481
Fear,0xbaaaf6571ab7d571043ff1e313a9609a10637864,881,4429231.3,0.006106301618545902,10.63322596367764,0.24517593643586832
Fear,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,441,3380357.9699999997,0.09939871840084959,388.20472620861676,0.46485260770975056
Fear,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2288,3933443.61,0.003274244823513707,8.649765957604895,0.36451048951048953
Greed,0x083384f897ee0f19899168e3b1bec365f52a9012,298,8787994.16,0.01151589132462076,-151.06668729865774,0.412751677852349
Greed,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,880,1859460.19,0.006051392902539696,9.952623548863636,0.38522727272727275
Greed,0x271b280974205ca63b716753467d5a371de622ab,4,158123.95,0.001983509112136703,52.204365,0.75
